spearman_log2fc,jaccard_significant,ref_sig_count,test_sig_count,abs_sig_count_delta
0.8816254102980375,0.442410588566601,3424,1698,1726
0.8869995210917087,0.4343916830570385,3424,1681,1743
0.8849768086072377,0.45979265900812555,3424,1786,1638
0.8837219238594309,0.4386459802538787,3424,1676,1748
0.8842983630176178,0.4688808261233603,3424,1839,1585
0.8825267409053266,0.45075970737197524,3424,1732,1692
0.8863005448962225,0.4314221472737493,3424,1669,1755
0.88244188603991,0.43670707640259376,3424,1672,1752
0.8843537678805177,0.45347862531433364,3424,1778,1646
0.8796671908688316,0.4441638608305275,3424,1723,1701
