spearman_log2fc,jaccard_significant,ref_sig_count,test_sig_count,abs_sig_count_delta,snr_before,snr_after
0.8484556991833991,0.7231040564373897,499,478,21,6.7484149236948845,6.848425943541803
0.8566721296143508,0.7379679144385026,499,476,23,6.733601033157403,6.832141202409972
0.85814877893241,0.6951219512195121,499,474,25,6.7425117921660656,6.843719818946434
0.8600928194455476,0.6785109983079526,499,493,6,6.74297333881972,6.842590136540575
0.8566397038910291,0.7110726643598616,499,490,9,6.738248161382855,6.8411567133113325
0.8592198002151797,0.7359154929577465,499,487,12,6.740072760409061,6.840412750485729
0.8573485625177317,0.7450980392156863,499,480,19,6.745953965551454,6.847171787167854
0.8576506066942855,0.7107583774250441,499,471,28,6.732937426031942,6.832632393108552
0.8634100254128468,0.7280701754385965,499,486,13,6.749991625496202,6.849628532933232
0.8577888563120176,0.6964912280701754,499,468,31,6.715689683019069,6.815542683109157
