spearman_log2fc,jaccard_significant,ref_sig_count,test_sig_count,abs_sig_count_delta,snr_before,snr_after
0.12606063384983476,0.028054298642533938,499,637,138,7.959742776253464,1.6130763765059961
0.14433538634349363,0.019038984587488667,499,625,126,7.939168328526337,1.6191985995364628
0.13315471296223608,0.02551984877126654,499,586,87,7.960946628068019,1.603868713667132
0.1377477599297502,0.03002729754322111,499,633,134,7.958295423972096,1.6237562917467019
0.1359527320110013,0.021335807050092765,499,602,103,7.956239622510563,1.6271980312880636
0.13706789086162588,0.028596961572832886,499,652,153,7.9644413774133405,1.6188338801635143
0.1418705844089435,0.03228699551569507,499,652,153,7.971140101415122,1.65375817805323
0.1439702299319445,0.028310502283105023,499,627,128,7.962751786343125,1.6453430318332578
0.13862321828687804,0.018674136321195144,499,592,93,7.950504698557044,1.611749146295788
0.13801224639841292,0.0296229802513465,499,648,149,7.966980110184102,1.6311434260891677
