spearman_log2fc,jaccard_significant,ref_sig_count,test_sig_count,abs_sig_count_delta,snr_before,snr_after
0.985346299001566,0.9132032796154933,3424,3343,81,4.86861843001722,4.938234645143823
0.9850800547618923,0.9207696661007357,3424,3364,60,4.871616241430677,4.940553291135187
0.9854054174615331,0.9150326797385621,3424,3315,109,4.871253980661131,4.940672183847992
0.9850613378385051,0.9104054437198752,3424,3314,110,4.870663414678401,4.940426767403938
0.9846876202046325,0.9175199089874858,3424,3318,106,4.871219442589515,4.940605285557493
0.9846033501465468,0.9092460881934566,3424,3287,137,4.869896762945386,4.939183604059321
0.9850169975858625,0.9112560249503827,3424,3317,107,4.870601919360303,4.940015802597247
0.9849868066687706,0.9153168513782325,3424,3316,108,4.8683239780915954,4.937991757085499
0.9851472407415448,0.9162870159453302,3424,3306,118,4.8718460300892135,4.941119477561035
0.9837248383619769,0.9134014764338444,3424,3315,109,4.868275995111097,4.93752051919714
