spearman_log2fc,jaccard_significant,ref_sig_count,test_sig_count,abs_sig_count_delta,snr_before,snr_after
0.8816254102980375,0.442410588566601,3424,1698,1726,5.08565886411196,5.821924232613914
0.8869995210917087,0.4343916830570385,3424,1681,1743,5.092644964405297,5.829064258910235
0.8849768086072377,0.45979265900812555,3424,1786,1638,5.089626877867656,5.8264449338714925
0.8837219238594309,0.4386459802538787,3424,1676,1748,5.082791290635814,5.8183937683004245
0.8842983630176178,0.4688808261233603,3424,1839,1585,5.089528017844538,5.826017614559373
0.8825267409053266,0.45075970737197524,3424,1732,1692,5.0820951695397385,5.8160301519439965
0.8863005448962225,0.4314221472737493,3424,1669,1755,5.081703063336502,5.816422996032258
0.88244188603991,0.43670707640259376,3424,1672,1752,5.098161606912483,5.836994308566062
0.8843537678805177,0.45347862531433364,3424,1778,1646,5.073815610882101,5.808669912351029
0.8796671908688316,0.4441638608305275,3424,1723,1701,5.089517270546822,5.8277889563666525
