spearman_log2fc,jaccard_significant,ref_sig_count,test_sig_count,abs_sig_count_delta,snr_before,snr_after
0.38470443201229,0.20368663594470046,499,807,308,6.7484149236948845,9.551651960172313
0.4016214225082413,0.17879604672057503,499,813,314,6.733601033157403,9.587241973061815
0.3982995594432971,0.16289592760180996,499,786,287,6.7425117921660656,9.189188833709942
0.3860094659898424,0.18824609733700642,499,795,296,6.74297333881972,9.992578805628867
0.37808795905897963,0.19745222929936307,499,817,318,6.738248161382855,9.66571284020811
0.389667381741537,0.1837686567164179,499,770,271,6.740072760409061,9.53103970555261
0.39638733608682186,0.1792452830188679,499,751,252,6.745953965551454,9.678157601042837
0.4144022479568867,0.1645101663585952,499,761,262,6.732937426031942,9.668563460409
0.3968673542382198,0.1833648393194707,499,753,254,6.749991625496202,9.636523948197786
0.39365234376276625,0.18361581920903955,499,758,259,6.715689683019069,9.685748653468973
