spearman_log2fc,jaccard_significant,ref_sig_count,test_sig_count,abs_sig_count_delta
0.6395517969663959,0.24496124031007752,499,304,195
0.6269479438938396,0.26038338658146964,499,290,209
0.6332302428495925,0.24522292993630573,499,283,216
0.6438672243990285,0.25908372827804105,499,298,201
0.653084618324231,0.2575516693163752,499,292,207
0.6384570000363576,0.2624,499,290,209
0.6264535610148383,0.2795031055900621,499,325,174
0.6383940541099653,0.2288,499,269,230
0.6347688286104469,0.23186119873817035,499,282,217
0.6501524513873138,0.261136712749616,499,322,177
