spearman_log2fc,jaccard_significant,pathway_top_jaccard,pathway_score_spearman,ref_sig_count,test_sig_count,abs_sig_count_delta,snr_before,snr_after
0.7971036408383019,0.025872093023255813,1.0,0.9340659340659341,3424,105,3319,5.090996283938541,15.024908752074483
0.7955607329642636,0.02125800815375655,1.0,0.956043956043956,3424,83,3341,5.0860865002404685,15.017252823500709
0.7964717976758415,0.007575757575757576,0.6666666666666666,0.9780219780219781,3424,34,3390,5.089415048607566,15.026491656598
0.7978007696240971,0.008746355685131196,0.6666666666666666,0.9340659340659341,3424,36,3388,5.099450044576755,15.028137767759532
