spearman_log2fc,jaccard_significant,ref_sig_count,test_sig_count,abs_sig_count_delta,snr_before,snr_after
0.9854671933673319,0.9176104190260476,3424,3349,75,4.86861843001722,4.86861843001722
0.9851111802293655,0.9191176470588235,3424,3362,62,4.871616241430677,4.871616241430677
0.9857154292519228,0.9198863636363637,3424,3334,90,4.871253980661131,4.871253980661131
0.9846182428124602,0.9135242415650695,3424,3325,99,4.870663414678401,4.870663414678401
0.9850094093635683,0.9206710264429911,3424,3331,93,4.871219442589515,4.871219442589515
0.9849333470529085,0.9133030130756111,3424,3307,117,4.869896762945386,4.869896762945386
0.9853215476278339,0.9153889835320841,3424,3322,102,4.870601919360303,4.870601919360303
0.9855876826569612,0.9173999432302016,3424,3331,93,4.8683239780915954,4.8683239780915954
0.9851897065874027,0.9209328782707622,3424,3330,94,4.8718460300892135,4.8718460300892135
0.9838261018379434,0.9144886363636363,3424,3315,109,4.868275995111097,4.868275995111097
