spearman_log2fc,jaccard_significant,ref_sig_count,test_sig_count,abs_sig_count_delta
0.985346299001566,0.9132032796154933,3424,3343,81
0.9850800547618923,0.9207696661007357,3424,3364,60
0.9854054174615331,0.9150326797385621,3424,3315,109
0.9850613378385051,0.9104054437198752,3424,3314,110
0.9846876202046325,0.9175199089874858,3424,3318,106
0.9846033501465468,0.9092460881934566,3424,3287,137
0.9850169975858625,0.9112560249503827,3424,3317,107
0.9849868066687706,0.9153168513782325,3424,3316,108
0.9851472407415448,0.9162870159453302,3424,3306,118
0.9837248383619769,0.9134014764338444,3424,3315,109
