spearman_log2fc,jaccard_significant,ref_sig_count,test_sig_count,abs_sig_count_delta
0.8819263904412693,0.5028026905829597,3424,1938,1486
0.8871559407692985,0.5043308186644314,3424,1960,1464
0.8857984955452565,0.5251677852348994,3424,2030,1394
0.8849215615656864,0.502661810030821,3424,1939,1485
0.8835468334530254,0.5288275862068965,3424,2118,1306
0.8831881655769348,0.5163727959697733,3424,1994,1430
0.8858427790515825,0.4973441431367067,3424,1932,1492
0.88315675788187,0.5,3424,1940,1484
0.8830712308355664,0.5172126596335369,3424,2041,1383
0.880233042518719,0.5143574017284639,3424,2008,1416
