gene,log2fc,pvalue,adj_pvalue,sig_adj_lfc,sig_raw_lfc
ITPKC,0.8437500000000001,1.9460714841167888e-05,0.16875016714448704,False,False
SMEK2,0.9799999999999999,2.3755918511225038e-05,0.16875016714448704,False,False
STAG3,0.4012499999999999,0.0001864295747634749,0.43088933346781155,False,False
DENR,-3.4225,0.00018965618259384682,0.43088933346781155,False,True
IL1B,5889.816250000001,0.0002976237535212071,0.43088933346781155,False,True
EDRF1,-2.8925000000000005,0.00032436658042781636,0.43088933346781155,False,True
IER3,2071.3562500000003,0.00033737210548657386,0.43088933346781155,False,True
VEZF1,-26.189999999999998,0.0003666336833900209,0.43088933346781155,False,True
MRPL44,-1.0637500000000002,0.0003696916647187228,0.43088933346781155,False,True
TGM4,1.19625,0.0003874656235256539,0.43088933346781155,False,True
PHEX,-0.46625000000000016,0.0003901992967729117,0.43088933346781155,False,False
POLR2D,-0.5612500000000002,0.00039660269005257267,0.43088933346781155,False,False
KLHDC10,-1.6099999999999999,0.00040608350345924056,0.43088933346781155,False,True
SUZ12,-4.6425,0.0004246111542584192,0.43088933346781155,False,True
HDAC6,1.0249999999999997,0.0005256375370825677,0.4704674149179903,False,True
CDC45,0.43749999999999994,0.0005824080826178127,0.4704674149179903,False,False
HAUS3,-0.40874999999999995,0.0006041782373993226,0.4704674149179903,False,False
TACR1,0.44749999999999984,0.0006139402523434222,0.4704674149179903,False,False
SF3B1,-251.1712499999999,0.0006291884904231587,0.4704674149179903,False,True
SCNN1B,0.4562499999999998,0.0007031481651091846,0.47337265652623506,False,False
INHA,0.34875,0.0007420976626939741,0.47337265652623506,False,False
OGT,-11.21625,0.0007585989005299744,0.47337265652623506,False,True
TGOLN2,-204.84124999999997,0.000766352579721504,0.47337265652623506,False,True
TAF7,166.20499999999998,0.0008504994378723492,0.4799683073577069,False,True
ASPA,-0.36624999999999985,0.0008966166893828325,0.4799683073577069,False,False
